"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7625","User login with correct email and password","LMS system","Tue Nov 11 15:31:30 UTC 2025","passed","Tue Nov 11 15:31:38 UTC 2025","Authorization","Authentication","",""
"","0","test_logout","tests","Tue Nov 11 15:31:41 UTC 2025","passed","Tue Nov 11 15:31:41 UTC 2025","TestUserAuthentication","test_markers","",""
"","2379","Navigation from login page to registration page","LMS system","Tue Nov 11 15:31:38 UTC 2025","passed","Tue Nov 11 15:31:41 UTC 2025","Authorization","Authentication","",""
"","0","Create course","LMS system","Tue Nov 11 15:31:41 UTC 2025","broken","Tue Nov 11 15:31:41 UTC 2025","Courses","Courses","",""
"","3695","User login with wrong email or password","LMS system","Tue Nov 11 15:31:38 UTC 2025","passed","Tue Nov 11 15:31:42 UTC 2025","Authorization","Authentication","",""
"","0","Check displaying of empty courses list","LMS system","Tue Nov 11 15:31:42 UTC 2025","broken","Tue Nov 11 15:31:42 UTC 2025","Courses","Courses","",""
"","0","test_forgot_password_link","tests","Tue Nov 11 15:31:41 UTC 2025","passed","Tue Nov 11 15:31:41 UTC 2025","TestUserInterface","test_markers","",""
"","0","test_critical_login","tests","Tue Nov 11 15:31:41 UTC 2025","passed","Tue Nov 11 15:31:41 UTC 2025","","test_markers","",""
"","0","Edit course","LMS system","Tue Nov 11 15:31:41 UTC 2025","broken","Tue Nov 11 15:31:41 UTC 2025","Courses","Courses","",""
"","0","Check displaying of dashboard","LMS system","Tue Nov 11 15:31:41 UTC 2025","broken","Tue Nov 11 15:31:41 UTC 2025","Dashboard","Dashboard","",""
"","0","test_login","tests","Tue Nov 11 15:31:41 UTC 2025","passed","Tue Nov 11 15:31:41 UTC 2025","TestUserAuthentication","test_markers","",""
"","3708","User login with wrong email or password","LMS system","Tue Nov 11 15:31:34 UTC 2025","passed","Tue Nov 11 15:31:38 UTC 2025","Authorization","Authentication","",""
"","0","test_password_reset","tests","Tue Nov 11 15:31:41 UTC 2025","passed","Tue Nov 11 15:31:41 UTC 2025","TestUserAuthentication","test_markers","",""
"","4260","Registration with correct email, username and password","LMS system","Tue Nov 11 15:31:42 UTC 2025","passed","Tue Nov 11 15:31:46 UTC 2025","Registration","Authentication","",""
"","0","test_regression_case","tests","Tue Nov 11 15:31:41 UTC 2025","passed","Tue Nov 11 15:31:41 UTC 2025","","test_markers","",""
"","3945","User login with wrong email or password","LMS system","Tue Nov 11 15:31:30 UTC 2025","passed","Tue Nov 11 15:31:34 UTC 2025","Authorization","Authentication","",""
